╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
1445/12/12,::.,"24бу30""","117бу36""",,6.25,VIII,9,
1446/00/00,::.,"23бу36""","102бу48""",,5,,9,
1448/09/30,::.,"38бу18""","109бу48""",,5,,9,
1458/08/00,::.,"25бу06""","99бу06""",,5,,9,
1467/01/19,::.,"27бу06""","101бу30""",,6.5,VIII,9,
1467/06/09,::.,"39бу36""","112бу18""",,5.5,VII,9,
1469/11/04,::.,"31бу12""","112бу36""",,5,,9,
1474/10/27,::.,"26бу36""","100бу12""",,5.5,VII,9,
1474/12/11,::.,"37бу54""","106бу18""",,5.5,VII,9,
1477/03/19,::.,"35бу12""","104бу12""",,5,VI,9,
1477/05/13,::.,"38бу30""","106бу18""",,6.5,VIII,9,
1478/08/17,::.,"27бу30""","101бу36""",,5.5,VII,9,
1481/07/15,::.,"26бу30""","99бу54""",,6,VIII,9,
1484/01/29,::.,"40бу30""","116бу30""",,6.75,,9,
1485/01/17,::.,"34бу48""","110бу18""",,5,,9,
1485/05/27,::.,"40бу12""","117бу54""",,5,VI,9,
1487/08/10,::.,"34бу24""","108бу54""",,6.25,VIII,9,
1488/00/00,::.,"25бу42""","101бу18""",,4.75,VI,9,
1488/09/16,::.,"31бу42""","103бу54""",,5.5,,9,
1494/03/24,::.,"25бу30""","103бу48""",,5.5,VII,9,
1495/04/10,::.,"37бу36""","105бу36""",,6.25,VIII,9,
1497/02/17,::.,"36бу18""","112бу54""",,4.75,VI,9,
1498/11/14,::.,"26бу06""","99бу54""",,4.75,VI,9,
1499/07/17,::.,"25бу18""","100бу18""",,5.5,VII,9,
1500/01/04,::.,"24бу54""","103бу06""",,6.75,IX,9,
1501/01/19,::.,"34бу48""","110бу06""",,7,IX,9,
1501/06/01,::.,"26бу30""","99бу54""",,5.5,VII,9,
1502/01/17,::.,"34бу48""","110бу06""",,5,VI,9,
1502/10/17,::.,"35бу42""","115бу18""",,6.5,VIII,9,
1502/00/00,::.,"33бу24""","120бу06""",,4.75,VI,9,
1505/07/10,::.,"37бу48""","105бу54""",,5.5,VII,9,
1505/10/16,::.,"35бу12""","110бу54""",,5,VI,9,
1506/03/19,::.,"35бу18""","110бу06""",,5.5,VII,9,
1506/04/27,::.,"25бу24""","103бу18""",,5.5,VII,9,
1506/08/28,::.,"36бу18""","120бу42""",,4.75,VI,9,
1507/11/04,::.,"24бу36""","102бу30""",,5.25,VI,9,
1509/00/00,::.,"28бу36""","112бу24""",,4.75,VI,9,
1511/05/12,::.,"25бу00""","101бу30""",,5.5,VII,9,
1511/06/01,::.,"26бу36""","100бу42""",,6.75,IX,9,
1511/11/17,::.,"26бу36""","100бу00""",,5.75,VII,9,
1512/10/08,::.,"25бу00""","98бу30""",,6.5,VIII,9,
1514/00/00,::.,"26бу12""","99бу24""",,4.75,VI,9,
1514/05/29,::.,"25бу42""","100бу12""",,6.25,VIII,9,
1514/09/00,::.,"25бу06""","99бу06""",,5.5,VII,9,
1515/06/17,::.,"26бу36""","100бу12""",,7,IX,9,
1515/10/00,::.,"25бу42""","100бу12""",,6,VIII,9,
1516/09/00,::.,"25бу06""","118бу12""",,4.75,VI,9,
1517/07/12,::.,"24бу06""","102бу36""",,5.5,VII,9,
1518/07/02,::.,"25бу24""","101бу42""",,4.75,VI,9,
1519/00/00,::.,"23бу42""","117бу12""",,4.75,VI,9,
1519/00/00,::.,"25бу42""","100бу12""",,5,VI,9,
1520/03/26,::.,"25бу18""","100бу18""",,5.5,VII,9,
1520/06/08,::.,"26бу36""","100бу12""",,5,VI,9,
1520/08/18,::.,"24бу24""","100бу48""",,5.5,VII,9,
1522/01/28,::.,"34бу06""","114бу06""",,5.75,VII,9,
1523/08/14,::.,"29бу54""","121бу42""",,5.5,VII,9,
1524/02/04,::.,"34бу00""","114бу00""",,5.75,VII,9,
1524/04/05,::.,"19бу12""","110бу30""",,5,VI,9,
1526/05/21,::.,"25бу48""","105бу12""",,5,VI,9,
1526/05/30,::.,"25бу48""","105бу12""",,5,VI,9,
1527/00/00,::.,"39бу48""","118бу06""",,5.5,VII,9,
1528/00/00,::.,"37бу54""","114бу36""",,5,VI,9,
1531/01/00,::.,"30бу42""","117бу30""",,4.75,VI,9,
1532/11/06,::.,"40бу00""","116бу54""",,5.5,VII,9,
1535/05/00,::.,"25бу48""","116бу24""",,4.5,,9,
1536/03/20,::.,"28бу06""","102бу06""",,7.25,X,9,
1536/10/22,::.,"39бу48""","116бу48""",,6,,9,
