╚╒╞┌,╩▒╝ф(▒▒╛й╩▒),╬│╢╚(╢╚-╖╓),╛н╢╚(╢╚-╖╓),╔ю╢╚(km),╒Ё╝╢,┴╥╢╚,╛л╚╖╢╚,▓╬┐╝╡╪╡у
1936/5/28,30:30.0,"27бу42""","112бу30""",,5,VI,9,
1936/5/28,51:99:90.0,"23бу00""","120бу48""",,4.8,,9,
1936/5/28,28:25.0,"21бу42""","120бу48""",,5.75,,9,
1936/6/2,28:39.0,"22бу30""","121бу48""",2,5,,9,
1936/6/7,25:79:90.0,"23бу54""","121бу06""",,4.8,,9,
1936/6/9,24:20.0,"27бу30""","87бу00""",,4.75,,9,
1936/6/23,20:30.0,"38бу54""","73бу42""",,5.25,,9,
1936/6/23,05:39.0,"22бу48""","120бу42""",,4.9,,9,
1936/7/7,10:39.0,"24бу42""","121бу12""",,4.7,,9,
1936/7/21,43:20.0,"24бу24""","120бу36""",,5,,9,
1936/8/1,24:30.0,"34бу12""","105бу42""",,6,VIII,2,
1936/8/3,08:10.0,"26бу00""","125бу00""",,5.25,,9,
1936/8/4,09:47.0,"20бу00""","121бу00""",,6,,9,
1936/8/10,70:90:47.0,"19бу30""","120бу30""",,5.25,,9,
1936/8/14,05:39.0,"24бу42""","122бу24""",8,5.1,,9,
1936/8/17,05:39.0,"26бу36""","103бу00""",,5.5,VII,9,
1936/8/22,51:35.0,"22бу18""","120бу48""",,7.2,,9,
1936/8/22,09:22.0,"22бу18""","121бу18""",,5.5,,9,
1936/8/24,95:59:90.0,"22бу18""","121бу12""",,4.7,,9,
1936/8/26,10:39.0,"22бу00""","121бу12""",,4.6,,9,
1936/8/28,33:39.0,"22бу12""","121бу12""",,5,,9,
1936/9/7,30:49.0,"27бу30""","87бу00""",,5.5,,9,
1936/9/13,15:90:60.0,"24бу24""","120бу36""",,5.5,,9,
1936/9/18,46:39.0,"24бу30""","122бу18""",6,4.8,,9,
1936/10/1,50:30.0,"22бу36""","121бу18""",,4.8,,9,
1936/10/7,03:39.0,"23бу12""","121бу24""",,5.3,,9,
1936/10/9,54:19:90.0,"22бу24""","121бу24""",,4.7,,9,
1936/10/19,27:39.0,"22бу42""","121бу24""",6,5.1,,9,
1936/11/12,12:40.0,"39бу30""","74бу12""",,5.5,,9,
1936/11/23,93:01:60.0,"30бу30""","86бу54""",,5.75,,9,
1936/11/30,65:01:70.0,"22бу18""","121бу18""",,5.5,,9,
1936/12/16,30:30.0,"24бу30""","121бу00""",,4.5,,9,
1936/12/18,30:30.0,"28бу36""","103бу54""",,5.5,VII,9,
1937/1/2,63:19:90.0,"23бу30""","121бу00""",,4.6,,9,
1937/1/5,42:99:90.0,"24бу36""","121бу24""",,4.5,,9,
1937/1/7,20:41.0,"35бу30""","97бу36""",,7.5,X,2,
1937/1/8,52:00.0,"35бу30""","97бу42""",,5.75,,9,
1937/1/17,56:39.0,"22бу54""","121бу12""",,4.7,,9,
1937/1/25,39:39.0,"22бу54""","120бу30""",,5.2,,9,
1937/1/29,08:39.0,"23бу48""","122бу12""",4,5.5,,9,
1937/2/1,16:39.0,"23бу18""","123бу06""",4,5.3,,9,
1937/2/12,33:32.0,"35бу30""","98бу00""",,5.75,,2,
1937/2/13,58:57.0,"35бу00""","98бу00""",,5,,9,
1937/2/23,80:91:60.0,"25бу48""","98бу24""",,5.5,,9,
1937/3/1,85:79:90.0,"23бу00""","120бу30""",,5,,9,
1937/3/10,41:91:40.0,"27бу00""","92бу00""",,4.75,,9,
1937/3/30,38:02.0,"24бу30""","121бу00""",,5.25,,9,
1937/3/31,36:06.0,"28бу00""","90бу30""",,5,,9,
1937/4/3,22:39.0,"23бу30""","120бу54""",,5,,9,
1937/4/3,20:31.0,"24бу00""","120бу00""",,5.25,,9,
1937/4/3,51:39.0,"23бу18""","120бу48""",,5.4,,9,
1937/4/9,05:01.0,"23бу42""","120бу30""",,5.25,,9,
1937/4/11,03:39.0,"21бу54""","121бу00""",,4.5,,9,
1937/4/11,03:39.0,"23бу42""","121бу18""",,4.6,,9,
1937/4/12,30:00.0,"23бу42""","120бу30""",,5,,9,
1937/4/12,26:39.0,"23бу18""","120бу54""",,4.6,,9,
1937/4/12,31:39.0,"23бу18""","120бу48""",,5,,9,
1937/4/14,06:39.0,"24бу12""","123бу00""",2,5.4,,9,
1937/4/20,46:39.0,"24бу30""","121бу30""",,4.9,,9,
1937/4/26,10:39.0,"24бу36""","121бу00""",,5.2,,9,
1937/4/29,41:19:90.0,"23бу48""","121бу24""",,4.8,,9,
1937/4/29,61:39:90.0,"24бу12""","121бу42""",,5,,9,
1937/5/1,25:50.0,"30бу00""","81бу30""",,5.5,,9,
1937/5/3,62:09:90.0,"23бу30""","121бу30""",,4.6,,9,
1937/5/6,17:39.0,"24бу00""","121бу36""",,5.1,,9,
1937/5/8,12:69:90.0,"22бу54""","121бу12""",,5,,9,
1937/5/13,55:99:90.0,"23бу48""","121бу12""",,4.8,,9,
1937/5/17,44:69:90.0,"24бу24""","122бу36""",,4.6,,9,
1937/5/28,73:59:90.0,"21бу54""","121бу06""",,5,,9,
1937/5/30,18:39.0,"24бу18""","121бу42""",,4.6,,9,
1937/6/24,18:39.0,"23бу42""","122бу12""",4,4.7,,9,
1937/6/28,18:39.0,"25бу24""","119бу06""",,4.75,VI,9,
1937/8/1,43:54:80.0,"35бу24""","115бу06""",,7,IX,2,
1937/8/1,41:05.0,"35бу18""","115бу12""",,6.75,VIII,9,
1937/8/8,58:57.0,"43бу00""","86бу00""",,5.5,,9,
1937/8/15,36:48.0,"30бу00""","90бу00""",,5.75,,9,
1937/8/23,49:39.0,"22бу06""","119бу36""",4,4.8,,9,
1937/8/25,10:39.0,"24бу00""","121бу48""",,4.9,,9,
1937/8/25,34:39.0,"23бу54""","121бу48""",,5.2,,9,
1937/8/25,14:39.0,"23бу54""","121бу48""",,5,,9,
1937/8/31,57:39.0,"24бу12""","121бу42""",,4.6,,9,
1937/9/9,14:39.0,"24бу12""","121бу48""",,4.5,,9,
1937/9/10,23:69:90.0,"24бу00""","120бу36""",,4.5,,9,
1937/9/15,23:69:90.0,"37бу48""","112бу30""",,5,,9,
1937/9/15,81:89:90.0,"24бу30""","121бу18""",,4.6,,9,
1937/9/26,82:79:90.0,"23бу48""","121бу36""",,4.5,,9,
1937/9/26,08:39.0,"23бу42""","121бу42""",,5,,9,
1937/9/27,42:89:90.0,"23бу48""","121бу36""",,4.6,,9,
1937/9/29,44:39.0,"23бу00""","120бу42""",,4.9,,9,
1937/10/9,44:39.0,"24бу12""","121бу42""",,4.9,,9,
1937/10/19,40:89:90.0,"23бу54""","122бу36""",6,5.3,,9,
1937/10/24,48:39.0,"24бу12""","121бу18""",,4.6,,9,
1937/11/9,26:39.0,"24бу36""","121бу36""",,5.3,,9,
1937/11/16,53:73:40.0,"35бу00""","78бу00""",10,6.5,,9,
1937/11/17,62:80:50.0,"34бу30""","99бу30""",,5,,9,
1937/11/25,34:56.0,"24бу36""","121бу06""",,5,,9,
1937/11/26,45:11.0,"24бу00""","123бу00""",5,6,,9,
1937/11/28,15:39.0,"22бу54""","121бу24""",,4.7,,9,
1937/12/1,58:39.0,"24бу00""","121бу12""",,4.7,,9,
1937/12/1,49:39.0,"24бу00""","121бу12""",,4.7,,9,
1937/12/8,32:11.0,"22бу54""","121бу12""",,7,,2,
1937/12/8,42:39.0,"23бу18""","121бу12""",,4.5,,9,
1937/12/8,55:39.0,"23бу06""","121бу30""",,5.5,,9,
1937/12/8,42:39.0,"23бу06""","121бу24""",,5.6,,9,
1937/12/8,07:39.0,"23бу06""","121бу24""",,4.5,,9,
1937/12/9,07:39.0,"22бу54""","121бу12""",,4.6,,9,
1937/12/9,43:84:30.0,"22бу54""","121бу30""",,6,,9,
1937/12/9,71:89:90.0,"23бу36""","121бу18""",,4.6,,9,
1937/12/9,73:09:90.0,"23бу06""","121бу24""",,4.9,,9,
1937/12/9,73:39:90.0,"23бу06""","121бу30""",,5.3,,9,
1937/12/9,73:99:90.0,"23бу06""","121бу24""",,5.2,,9,
1937/12/9,90:39:90.0,"23бу06""","121бу30""",,5,,9,
1937/12/9,90:99:90.0,"23бу18""","121бу18""",,5,,9,
1937/12/9,35:39.0,"23бу12""","121бу24""",,4.5,,9,
1937/12/9,09:39.0,"23бу06""","121бу30""",,5.1,,9,
1937/12/10,02:39.0,"23бу06""","121бу24""",,4.5,,9,
1937/12/10,04:39.0,"23бу06""","121бу24""",,4.6,,9,
1937/12/11,45:39.0,"23бу12""","121бу24""",,4.7,,9,
1937/12/14,50:30.0,"22бу54""","121бу24""",,4.7,,9,
1937/12/14,25:35:70.0,"22бу42""","121бу12""",,6.75,,9,
1937/12/15,06:39.0,"23бу00""","121бу30""",,4.9,,9,
1937/12/17,32:12.0,"22бу42""","121бу12""",,6.75,,9,
1937/12/17,03:39.0,"23бу06""","121бу30""",,5.2,,9,
1937/12/29,27:39.0,"22бу48""","121бу12""",,4.9,,9,
1937/12/31,14:39.0,"22бу48""","121бу24""",,5.1,,9,
1938/1/4,49:06.0,"32бу30""","98бу00""",,5.25,,9,
1938/1/6,93:99:90.0,"23бу30""","121бу24""",,4.9,,9,
1938/1/11,50:39.0,"23бу24""","121бу18""",,4.6,,9,
1938/1/13,48:39.0,"22бу18""","121бу12""",,4.9,,9,
1938/1/17,58:39.0,"23бу12""","121бу24""",,4.6,,9,
1938/1/19,42:39.0,"23бу12""","121бу24""",,4.6,,9,
1938/1/20,47:39.0,"22бу54""","121бу06""",,4.6,,9,
1938/1/29,13:08.0,"27бу30""","87бу00""",,5.5,,9,
1938/2/4,12:39.0,"23бу06""","121бу18""",,4.7,,9,
1938/2/8,13:10.0,"24бу48""","122бу06""",4,5.75,,9,
1938/2/9,27:39.0,"23бу30""","122бу54""",6,5,,9,
1938/2/26,10:43.0,"28бу00""","90бу30""",,5.25,,9,
1938/2/27,10:43.0,"23бу42""","121бу48""",,4.6,,9,
1938/3/4,39:39.0,"23бу12""","121бу24""",,5.5,,9,
1938/3/14,14:21.0,"32бу18""","103бу36""",,6,,2,
1938/3/23,50:30.0,"23бу12""","121бу24""",,4.8,,9,
1938/3/24,42:39.0,"24бу24""","121бу30""",,4.7,,9,
1938/4/1,11:00.0,"20бу00""","120бу30""",6,6.5,,9,
1938/4/1,84:34:60.0,"20бу00""","120бу30""",,5.5,,9,
1938/4/2,11:10.0,"20бу00""","120бу30""",,6,,9,
1938/4/10,26:39.0,"24бу36""","121бу54""",,4.8,,9,
1938/4/10,05:46.0,"36бу18""","98бу42""",,5.75,,4,
1938/4/15,63:79:90.0,"24бу36""","122бу12""",,5.3,,9,
1938/4/15,17:39.0,"23бу18""","121бу24""",,4.7,,9,
1938/4/24,12:39.0,"22бу42""","121бу18""",,5.1,,9,
1938/5/7,49:39.0,"23бу30""","121бу30""",,4.9,,9,
1938/5/9,00:30.0,"24бу24""","121бу42""",,4.7,,9,
1938/5/14,03:09.0,"21бу42""","99бу30""",,6,VIII,9,
1938/5/23,21:53.0,"18бу00""","119бу30""",8,7,,9,
1938/5/25,05:39.0,"22бу54""","121бу30""",,4.7,,9,
1938/6/11,53:39.0,"24бу36""","122бу00""",,4.9,,9,
1938/6/17,03:00.0,"24бу36""","121бу06""",,5.25,,9,
1938/6/17,32:39.0,"23бу48""","122бу12""",4,5.1,,9,
1938/6/22,10:39.0,"22бу00""","121бу06""",,4.5,,9,
1938/6/28,53:39.0,"23бу00""","121бу18""",,4.6,,9,
1938/7/28,17:39.0,"23бу12""","121бу30""",,4.7,,9,
1938/8/8,42:19:90.0,"23бу12""","120бу06""",,4.5,,9,
1938/8/10,09:39.0,"23бу30""","121бу06""",,5.5,,9,
1938/8/19,61:79:90.0,"24бу12""","121бу36""",,5.5,,9,
1938/8/23,53:72:40.0,"37бу24""","98бу30""",,6,,3,
1938/8/23,92:49:90.0,"24бу12""","121бу42""",,4.8,,9,
1938/8/23,16:03.0,"32бу12""","92бу54""",,5.5,,3,
1938/8/26,08:39.0,"23бу00""","120бу12""",,4.7,,9,
1938/8/28,83:59:90.0,"21бу36""","122бу30""",4,6,,9,
1938/8/31,50:30.0,"23бу00""","120бу18""",,4.5,,9,
1938/9/1,54:09.0,"23бу42""","122бу24""",,6,,9,
1938/9/3,32:39.0,"22бу54""","120бу24""",,4.5,,9,
1938/9/5,55:39.0,"22бу54""","120бу24""",,4.5,,9,
1938/9/7,64:59:90.0,"22бу54""","120бу24""",,4.7,,9,
1938/9/7,03:17.0,"23бу54""","121бу42""",,7,,9,
1938/9/7,03:39.0,"23бу48""","121бу30""",,5.3,,9,
1938/9/7,20:39.0,"23бу48""","121бу30""",,4.7,,9,
1938/9/7,39:39.0,"23бу54""","121бу36""",,4.5,,9,
1938/9/7,15:39.0,"23бу54""","121бу30""",,4.9,,9,
1938/9/7,40:39.0,"23бу48""","121бу30""",,4.8,,9,
1938/9/8,13:39.0,"23бу54""","121бу24""",,4.7,,9,
1938/9/8,35:39.0,"23бу54""","121бу36""",,4.5,,9,
1938/9/11,30:30.0,"23бу42""","121бу36""",,4.8,,9,
1938/9/11,41:19:90.0,"22бу54""","121бу36""",,4.5,,9,
1938/9/11,45:39.0,"23бу00""","121бу36""",,4.7,,9,
1938/9/14,51:39.0,"24бу24""","120бу36""",,5.5,,9,
1938/9/16,72:79:90.0,"24бу12""","121бу36""",,4.6,,9,
1938/9/17,00:39.0,"23бу54""","121бу48""",,4.8,,9,
1938/9/18,32:99:90.0,"23бу12""","120бу12""",,4.8,,9,
1938/9/18,33:39.0,"24бу00""","121бу48""",,4.7,,9,
1938/9/18,42:39.0,"23бу54""","121бу18""",,4.7,,9,
1938/9/18,43:39.0,"23бу24""","121бу18""",,5.5,,9,
1938/9/19,49:90:99.0,"23бу00""","120бу18""",,4.7,,9,
1938/9/21,43:00.0,"48бу12""","90бу30""",,5.25,,9,
1938/9/22,73:69:90.0,"23бу54""","121бу36""",,4.5,,9,
1938/9/22,06:39.0,"23бу12""","120бу12""",,4.5,,9,
1938/9/23,40:39.0,"23бу48""","121бу30""",,4.8,,9,
1938/9/30,02:18.0,"35бу06""","78бу06""",,5,,9,
1938/10/3,30:39.0,"23бу00""","120бу18""",,4.6,,9,
1938/10/9,23:39.0,"23бу48""","121бу30""",,4.7,,9,
1938/10/13,26:23.0,"23бу54""","121бу42""",,6.25,,9,
1938/10/20,40:99:90.0,"23бу42""","121бу54""",,5.2,,9,
1938/10/21,46:22.0,"43бу30""","131бу00""",55,6.25,,9,
1938/10/22,57:39.0,"23бу30""","120бу30""",,4.9,,9,
1938/10/22,00:39.0,"23бу30""","120бу30""",,4.5,,9,
1938/10/24,45:29:90.0,"24бу18""","121бу24""",,4.6,,9,
1938/10/25,12:39.0,"24бу06""","121бу54""",,4.5,,9,
1938/10/26,27:36.0,"25бу00""","102бу00""",,5.5,,9,
1938/10/29,50:39.0,"24бу30""","122бу06""",,4.7,,9,
1938/11/3,92:59:90.0,"23бу00""","121бу06""",,4.6,,9,
1938/11/9,50:39.0,"24бу42""","122бу36""",4,5.3,,9,
1938/11/10,44:39.0,"23бу42""","121бу24""",,4.8,,9,
1938/11/19,28:39.0,"24бу30""","121бу24""",,5.4,,9,
1938/11/21,13:10.0,"29бу54""","95бу18""",,6,,3,
1938/11/21,58:55.0,"23бу54""","121бу42""",,5.75,,9,
1938/12/3,14:89:90.0,"25бу06""","121бу06""",,4.7,,9,
1938/12/3,42:00.0,"33бу12""","90бу24""",,6,,3,
1938/12/7,05:10.0,"22бу54""","121бу30""",,7,,9,
1938/12/7,12:18.0,"22бу54""","121бу30""",,5.5,,9,
1938/12/7,00:56.0,"22бу54""","121бу30""",,5.75,,9,
1938/12/9,02:45.0,"22бу54""","121бу30""",,5.75,,9,
1938/12/9,56:39.0,"22бу54""","121бу30""",,4.5,,9,
1938/12/19,53:10.0,"18бу18""","119бу00""",,5,,9,
1938/12/23,53:10.0,"24бу06""","123бу06""",,5.9,,9,
1939/1/3,34:39.0,"23бу48""","121бу30""",,4.5,,9,
1939/1/12,10:39.0,"23бу24""","121бу18""",,4.5,,9,
1939/1/15,10:39.0,"23бу00""","121бу42""",,5.3,,9,
1939/1/21,17:39.0,"22бу12""","121бу12""",,4.8,,9,
1939/1/26,83:09:90.0,"23бу30""","120бу36""",,4.6,,9,
1939/1/27,83:09:90.0,"23бу30""","120бу30""",,4.7,,9,
1939/2/9,70:79:90.0,"23бу06""","120бу36""",,4.5,,9,
1939/2/10,14:89:90.0,"23бу42""","121бу36""",,4.6,,9,
1939/2/10,21:39.0,"24бу18""","122бу12""",,4.7,,9,
1939/2/14,45:39.0,"23бу30""","121бу30""",,5,,9,
1939/2/23,40:46.0,"42бу30""","82бу30""",,6,,9,
1939/3/13,40:46.0,"36бу36""","104бу42""",,5,VI,9,
1939/3/17,12:24.0,"42бу30""","82бу30""",,5.75,,9,
1939/3/20,95:65:30.0,"42бу30""","82бу30""",,5.5,,9,
1939/4/2,10:30.0,"24бу12""","122бу00""",,4.5,,9,
1939/4/9,15:39.0,"24бу00""","121бу24""",,5.1,,9,
1939/4/18,53:30.0,"39бу54""","77бу06""",,5,,9,
1939/4/26,16:26.0,"19бу36""","120бу36""",,6,,9,
1939/4/29,20:30.0,"24бу06""","121бу12""",,4.8,,9,
1939/5/15,59:39.0,"23бу54""","121бу00""",,4.5,,9,
1939/5/16,20:12.0,"23бу54""","121бу42""",,6,,9,
1939/5/30,25:00.0,"39бу24""","76бу42""",,5.5,,9,
1939/5/31,42:49:90.0,"23бу12""","121бу24""",,4.8,,9,
1939/6/2,12:69:90.0,"23бу30""","121бу30""",,5.1,,9,
1939/6/18,51:54.0,"23бу12""","121бу36""",,5.5,,9,
1939/6/18,23:57.0,"42бу30""","82бу30""",,5.5,,9,
1939/6/20,52:39.0,"23бу30""","121бу30""",,5.3,,9,
1939/6/29,94:19:90.0,"23бу42""","120бу36""",,4.5,,9,
1939/6/30,54:50.0,"44бу00""","93бу00""",,5.5,,9,
1939/7/6,51:58.0,"42бу30""","82бу30""",,5.5,,9,
1939/7/9,58:39.0,"24бу30""","122бу12""",,4.7,,9,
1939/7/28,01:39.0,"23бу00""","120бу36""",,4.8,,9,
1939/8/6,39:39.0,"25бу00""","123бу06""",,5.4,,9,
1939/8/17,10:39.0,"22бу42""","121бу30""",,4.9,,9,
1939/9/19,10:39.0,"24бу24""","102бу30""",,5.5,VII,9,
1939/9/22,65:99:90.0,"22бу42""","121бу30""",,4.5,,9,
1939/9/25,41:39.0,"23бу12""","121бу24""",,4.7,,9,
1939/9/26,58:39.0,"24бу30""","122бу12""",,4.8,,9,
1939/9/30,48:39.0,"23бу12""","121бу24""",,4.7,,9,
1939/10/4,24:89:90.0,"24бу06""","121бу24""",,5,,9,
1939/10/29,14:39.0,"23бу30""","120бу36""",,4.8,,9,
1939/11/7,53:22.0,"24бу24""","120бу42""",,5.75,,9,
1939/12/20,32:89:90.0,"24бу18""","120бу42""",,5.4,,9,
1940/00/00,32:89:90.0,"31бу36""","103бу54""",,5.5,VII,9,
1940/1/1,02:39.0,"24бу00""","122бу30""",6,5.5,,9,
1940/1/10,17:29.0,"35бу00""","98бу48""",,5.75,,9,
1940/1/19,23:48.0,"42бу42""","121бу18""",,6,,4,
1940/2/5,59:26.0,"45бу30""","84бу00""",,5.75,,9,
1940/2/13,46:28.0,"27бу00""","92бу00""",,5.25,,9,
1940/2/14,53:39.0,"24бу00""","122бу30""",4,5.3,,9,
1940/2/16,90:15:90.0,"32бу30""","94бу00""",,5.5,,9,
1940/2/22,33:46.0,"20бу24""","122бу00""",,5.5,,9,
1940/3/10,30:30.0,"24бу18""","121бу00""",,4.7,,9,
1940/3/17,08:27.0,"42бу30""","82бу30""",,5.5,,9,
1940/4/3,08:27.0,"24бу24""","102бу24""",,5,VI,9,
1940/4/6,43:02.0,"23бу54""","102бу18""",,6,VIII,3,
1940/4/14,19:28.0,"39бу54""","75бу42""",,5,,9,
1940/5/14,74:09:90.0,"24бу00""","121бу42""",,5.5,,9,
1940/5/21,24:39.0,"23бу48""","120бу30""",,5.5,,9,
1940/5/21,04:39.0,"23бу48""","120бу30""",,4.9,,9,
1940/6/18,40:30.0,"22бу48""","121бу00""",,4.5,,9,
1940/6/19,40:30.0,"24бу24""","102бу30""",,5.5,VII,9,
1940/6/29,38:39.0,"23бу00""","120бу18""",,4.5,,9,
1940/6/29,23:39.0,"25бу12""","122бу12""",,4.6,,9,
1940/7/10,49:55.0,"44бу00""","131бу00""",58,7.3,,9,
1940/8/5,72:09:90.0,"23бу54""","121бу30""",,4.7,,9,
1940/8/5,55:15.0,"40бу12""","122бу00""",,5.75,VIII,3,
1940/8/6,52:91:00.0,"23бу00""","122бу00""",,5.75,,9,
1940/8/8,52:91:00.0,"21бу54""","120бу54""",,5.2,,9,
1940/8/8,17:39.0,"23бу54""","121бу48""",,4.9,,9,
1940/8/9,33:39.0,"24бу18""","121бу48""",,5.1,,9,
1940/8/11,10:39.0,"23бу54""","121бу48""",,5,,9,
1940/8/11,21:39.0,"23бу54""","121бу48""",,5.2,,9,
1940/8/11,56:39.0,"23бу54""","121бу48""",,5,,9,
1940/8/28,41:39.0,"23бу54""","121бу48""",,5,,9,
1940/8/29,41:89:90.0,"23бу54""","121бу48""",,5,,9,
1940/8/29,03:14.0,"34бу48""","90бу54""",,5.75,,3,
1940/8/30,93:69:90.0,"23бу54""","121бу48""",,5.1,,9,
1940/8/30,30:40.0,"44бу36""","79бу24""",,4.75,,9,
1940/8/30,02:01.0,"44бу36""","79бу36""",,5.5,,9,
1940/8/31,92:79:90.0,"24бу18""","121бу42""",,5.8,,9,
1940/9/1,14:39.0,"23бу54""","121бу48""",,4.8,,9,
1940/9/3,40:37.0,"30бу42""","91бу42""",,6.25,,3,
1940/9/4,35:70:70.0,"30бу30""","91бу30""",,5.5,,9,
1940/9/5,31:12:60.0,"33бу30""","91бу30""",,5.75,,9,
1940/9/8,75:89:90.0,"23бу54""","121бу36""",,4.5,,9,
1940/10/3,90:32:60.0,"19бу24""","120бу48""",,5,,9,
1940/10/4,35:51.0,"30бу30""","91бу30""",,6,,9,
1940/10/12,33:39.0,"23бу30""","121бу24""",,4.5,,9,
1940/10/13,94:59:90.0,"22бу54""","121бу18""",,4.6,,9,
1940/10/17,94:59:90.0,"23бу24""","121бу42""",,4.5,,9,
1940/10/23,83:99:90.0,"24бу30""","121бу30""",,4.7,,9,
1940/11/7,83:99:90.0,"28бу42""","103бу36""",,5.5,,2,
1940/11/17,03:39.0,"24бу36""","122бу06""",,5.4,,9,
1940/11/19,54:39:90.0,"24бу12""","121бу42""",,4.8,,9,
1940/11/22,06:37.0,"43бу42""","131бу30""",54,6,,9,
1940/11/23,52:39.0,"22бу48""","121бу00""",,4.8,,9,
1940/11/26,50:39.0,"24бу36""","122бу18""",,5.6,,9,
1940/12/2,08:04.0,"40бу30""","76бу18""",,5.25,,9,
1940/12/10,52:39.0,"24бу36""","122бу18""",,4.6,,9,
1940/12/28,52:39.0,"39бу30""","73бу12""",,5,,9,
1941/1/3,16:39.0,"24бу00""","121бу48""",,5.4,,9,
1941/1/8,50:39.0,"23бу18""","121бу00""",,5,,9,
1941/1/9,23:99:90.0,"23бу30""","120бу48""",,4.6,,9,
1941/1/9,34:49:90.0,"23бу30""","120бу54""",,5,,9,
1941/1/9,61:29:90.0,"23бу30""","121бу00""",,4.9,,9,
1941/1/18,43:39.0,"24бу18""","120бу48""",,5,,9,
1941/1/21,42:01.0,"27бу30""","91бу54""",18,6.75,,2,
1941/1/22,54:39.0,"24бу42""","121бу36""",4,5.1,,9,
1941/1/27,20:30.0,"23бу12""","121бу24""",,4.5,,9,
1941/1/27,30:04.0,"27бу00""","92бу00""",18,6.5,,9,
1941/2/3,91:39:90.0,"23бу18""","121бу00""",,5.1,,9,
1941/2/3,92:59:90.0,"23бу18""","120бу54""",,5.3,,9,
1941/2/3,92:89:90.0,"23бу06""","120бу54""",,4.5,,9,
1941/2/3,26:39.0,"23бу00""","120бу54""",,5,,9,
1941/2/5,42:30.0,"22бу54""","121бу30""",,5.5,,9,
1941/2/7,27:39.0,"23бу42""","121бу36""",,4.8,,9,
1941/2/10,81:49:90.0,"23бу18""","121бу00""",,4.9,,9,
1941/2/13,07:39.0,"22бу48""","121бу06""",,4.7,,9,
1941/2/13,47:39.0,"23бу00""","121бу00""",,4.5,,9,
1941/2/15,93:99:90.0,"24бу06""","121бу48""",,5.1,,9,
1941/2/16,71:79:90.0,"23бу48""","121бу12""",,4.6,,9,
1941/2/16,92:19:90.0,"23бу48""","121бу12""",,4.8,,9,
1941/2/23,56:40.0,"28бу00""","96бу00""",9,5.5,,9,
1941/3/29,39:39.0,"23бу06""","121бу12""",,4.5,,9,
1941/4/5,02:50.0,"46бу18""","83бу00""",,5.5,,9,
1941/4/10,40:29:90.0,"23бу30""","121бу30""",,4.5,,9,
1941/4/11,41:39:90.0,"24бу12""","121бу48""",,4.5,,9,
1941/4/11,38:39.0,"24бу36""","122бу06""",,4.6,,9,
1941/4/19,53:45.0,"39бу06""","97бу00""",,6,,2,
1941/5/5,18:27.0,"47бу00""","127бу12""",,6,VIII,3,
1941/5/7,49:39.0,"23бу48""","121бу24""",,4.5,,9,
1941/5/7,56:39.0,"23бу54""","121бу30""",,4.7,,9,
1941/5/8,12:39.0,"23бу18""","121бу24""",,4.8,,9,
1941/5/14,08:08.0,"25бу48""","98бу24""",,5.5,,9,
1941/5/16,14:32.0,"23бу36""","99бу24""",,7,IX,3,
1941/5/22,02:50.0,"26бу42""","93бу06""",,5.5,,9,
1941/5/29,57:39.0,"23бу24""","121бу06""",,4.5,,9,
1941/5/30,35:39.0,"23бу54""","121бу36""",,4.5,,9,
1941/6/11,61:39:90.0,"25бу18""","122бу24""",,4.6,,9,
1941/6/12,33:10.0,"30бу06""","102бу30""",,6,,3,
1941/6/18,45:39.0,"23бу06""","121бу06""",,4.5,,9,
1941/6/26,19:39.0,"24бу12""","121бу00""",,4.6,,9,
1941/6/27,19:39.0,"24бу24""","120бу54""",,4.5,,9,
1941/7/7,90:59:90.0,"23бу18""","122бу00""",,5.2,,9,
1941/7/31,39:39.0,"23бу54""","122бу06""",4,4.8,,9,
1941/8/1,48:06.0,"32бу54""","85бу18""",,5.25,,3,
1941/8/2,21:32.0,"30бу00""","100бу00""",,5,,9,
1941/8/12,74:49:90.0,"24бу12""","121бу36""",,4.8,,9,
1941/8/14,38:35.0,"44бу06""","85бу24""",,5.75,,4,
1941/8/22,43:39.0,"22бу48""","121бу24""",,4.5,,9,
1941/8/22,53:39.0,"22бу42""","121бу18""",,4.6,,9,
1941/8/22,20:39.0,"22бу48""","121бу12""",,4.5,,9,
1941/9/6,03:00.0,"40бу00""","74бу48""",,5.5,,9,
1941/9/8,15:39.0,"23бу06""","120бу54""",,4.5,,9,
1941/9/12,23:39.0,"25бу12""","122бу00""",,5,,9,
1941/9/14,91:79:90.0,"22бу54""","121бу00""",,5.5,,9,
1941/9/21,19:45.0,"25бу09""","115бу36""",,5.75,VII,9,
1941/9/22,24:39.0,"24бу06""","121бу12""",,4.5,,9,
1941/9/24,01:39.0,"24бу48""","121бу24""",,4.5,,9,
1941/10/1,25:39.0,"24бу42""","122бу00""",3,5.8,,9,
1941/10/8,02:39.0,"22бу18""","120бу48""",,4.9,,9,
1941/10/8,24:20.0,"31бу42""","102бу18""",,6,VIII,4,
1941/10/10,39:39.0,"22бу54""","121бу18""",,4.8,,9,
1941/10/27,39:39.0,"23бу06""","121бу30""",3,5.2,,9,
1941/10/27,30:79:90.0,"23бу06""","121бу30""",3,4.6,,9,
1941/10/31,31:06.0,"25бу24""","98бу24""",,6.25,,4,
1941/11/13,33:39.0,"22бу12""","120бу54""",,4.7,,9,
